PREFIXO: ;E3-003
NOME DO POSTO: ;AGUA BRANCA
MUNICÍPIO: ;SAO PAULO
CURSO D'ÁGUA: ;TIETE,R
LATITUDE: ;23°30'57"
LONGITUDE: ;46°40'51"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  02/1942; 46,3;  1,0; 36,3; 24,8;  5,9;  0,0;  0,0;  4,4; 13,5;  6,0;  6,8;  1,8; 15,5;  0,0; 41,2;  1,2;  0,0; 23,6; 35,6; 16,6; 24,6;  0,0;  0,0;  0,0;  0,0; 17,8;  0,0; 30,0;---;---;---;46,3;352,9
  03/1942; 14,4;  4,5;  0,0;  0,6; 11,5;  6,5;  0,0;  0,0;  0,0;  1,1;  0,0; 32,0; 35,5;  4,9;  0,0;  0,0;  0,0;  1,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;27,0;35,5;139,5
  04/1942; 20,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,8;  1,8;  0,0;  0,0;  0,0;  0,0;  6,4;  8,0;  8,1;  1,8;  0,0;  0,0; 10,0; 42,3;  0,0;  0,0; 42,5;  7,0;  0,4;  0,0;  0,0;0,0;0,0;---;42,5;151,1
  05/1942; 17,5;  0,3;  0,0;  0,0;  1,5;  3,3;  8,3;  0,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;17,5;31,2
  06/1942;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,7; 23,1;  0,2;  0,0;  0,0;  0,0; 20,1; 20,4;  0,0;  3,0;  0,0;  0,0;  0,0;  0,0;  0,6;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;23,1;78,1
  07/1942;  0,0;  0,0;  0,0; 41,1;  5,1;  0,0;  0,0;  0,0;  2,5; 25,6; 15,1;  0,3;  0,0; 10,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;41,1;99,7
  08/1942;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;2,0;2,0
  09/1942;  0,0;  0,0;  0,0;  0,0;  0,0;  2,9;  0,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 13,1;  0,0; 14,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,0;  0,0;  0,0;  0,0;0,0;1,6;---;14,0;32,9
  10/1942;  0,0;  0,0;  2,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  6,5;  2,1;  0,7;  0,0;  0,2;2,4;0,0;0,0;6,5;13,9
  11/1942;  3,2; 14,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  7,6;  0,0;  0,7;  0,0;  0,0;  1,4;  0,0;  0,0;  0,0;  0,0;  1,5;  0,0; 14,7;  0,0;  0,0;  0,0;  0,0;  0,0; 32,0;  0,6;0,0;0,1;---;32,0;76,4
  12/1942;  0,0;  0,0;  1,2;  0,0;  0,0;  0,0;  0,0;  9,3; 11,2;  0,0;  1,9;  0,0;  0,0;  8,1; 42,4;  1,2;  0,0;  2,3;  0,0;  0,0; 17,9;  5,2;  9,6; 24,0;  0,0;  2,4;  7,2;  5,3;0,0;0,0;0,0;42,4;149,2
  01/1943;  0,0;  0,0;  4,8;  0,4;  0,0;  0,0;  0,0;  6,0;  0,0;  4,3; 40,3;  2,4; 32,0; 28,1;  4,5;  0,0;  0,0;  0,2; 12,7; 10,8;  4,2;  0,0;  0,0;  9,6;  7,7;  0,0;  8,3;  7,4;4,5;1,9;14,0;40,3;204,1
  02/1943;  1,2;  0,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,0;  1,3;  3,4;  0,2;  0,0; 15,7; 30,6;  7,3;  9,6; 11,5;  0,0;  0,0;  3,1;  2,3;  1,6;  9,6;  1,2;  0,0;  6,5;  0,0;---;---;---;30,6;106,7
  03/1943;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 12,5; 34,6;  0,0;  2,1;  0,8;  7,1;  0,5; 25,7; 17,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  7,8;  1,9;  0,0; 10,1; 37,7;0,3;0,0;0,0;37,7;158,6
  04/1943;  0,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  7,5;  0,1;  0,0;  0,0;  0,0;  6,3;  2,8;  0,0;  0,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,6;  2,3;  0,0;0,0;0,0;---;7,5;20,0
  05/1943;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,7;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;1,9;2,6
  06/1943;  0,0;  0,0;  0,0;  0,0;  0,0;  3,5;  0,0; 14,1;  6,4;  2,2;  0,0;  0,9;  0,0;  0,0;  0,0;  0,0;  0,0;  2,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;14,1;29,6
